NCM,Início de vigência,Fim de vigência
01012100,01/01/2016,
01012900,01/01/2016,
01013000,01/01/2016,
01019000,01/01/2016,
01022110,01/01/2016,
01022190,01/01/2016,
01022911,01/01/2016,
01022919,01/01/2016,
01022990,01/01/2016,
01023110,01/01/2016,
01023190,01/01/2016,
01023911,01/01/2016,
01023919,01/01/2016,
01023990,01/01/2016,
01029000,01/01/2016,
01031000,01/01/2016,
01039100,01/01/2016,
01039200,01/01/2016,
01041011,01/01/2016,
01041019,01/01/2016,
01041090,01/01/2016,
01042010,01/01/2016,
01042090,01/01/2016,
01051110,01/01/2016,
01051190,01/01/2016,
01051200,01/01/2016,
01051300,01/01/2016,
01051400,01/01/2016,
01051500,01/01/2016,
01059400,01/01/2016,
01059900,01/01/2016,
01061100,01/01/2016,
01061200,01/01/2016,
01061300,01/01/2016,
01061400,01/01/2016,
01061900,01/01/2016,
01062000,01/01/2016,
01063100,01/01/2016,
01063200,01/01/2016,
01063310,01/01/2016,
01063390,01/01/2016,
01063900,01/01/2016,
01064100,01/01/2016,
01064900,01/01/2016,
01069000,01/01/2016,
02011000,01/01/2016,
02012010,01/01/2016,
02012020,01/01/2016,
02012090,01/01/2016,
02013000,01/01/2016,
02021000,01/01/2016,
02022010,01/01/2016,
02022020,01/01/2016,
02022090,01/01/2016,
02023000,01/01/2016,
02031100,01/01/2016,
02031200,01/01/2016,
02031900,01/01/2016,
02032100,01/01/2016,
02032200,01/01/2016,
02032900,01/01/2016,
02041000,01/01/2016,
02042100,01/01/2016,
02042200,01/01/2016,
02042300,01/01/2016,
02043000,01/01/2016,
02044100,01/01/2016,
02044200,01/01/2016,
02044300,01/01/2016,
02045000,01/01/2016,
02050000,01/01/2016,
02061000,01/01/2016,
02062100,01/01/2016,
02062200,01/01/2016,
02062910,01/01/2016,
02062990,01/01/2016,
02063000,01/01/2016,
02064100,01/01/2016,
02064900,01/01/2016,
02068000,01/01/2016,
02069000,01/01/2016,
02071100,01/01/2016,
02071200,01/01/2016,
02071300,01/01/2016,
02071400,01/01/2016,
02072400,01/01/2016,
02072500,01/01/2016,
02072600,01/01/2016,
02072700,01/01/2016,
02074100,01/01/2016,
02074200,01/01/2016,
02074300,01/01/2016,
02074400,01/01/2016,
02074500,01/01/2016,
02075100,01/01/2016,
02075200,01/01/2016,
02075300,01/01/2016,
02075400,01/01/2016,
02075500,01/01/2016,
02076000,01/01/2016,
02081000,01/01/2016,
02083000,01/01/2016,
02084000,01/01/2016,
02085000,01/01/2016,
02086000,01/01/2016,
02089000,01/01/2016,
02091011,01/01/2016,
02091019,01/01/2016,
02091021,01/01/2016,
02091029,01/01/2016,
02099000,01/01/2016,
02101100,01/01/2016,
02101200,01/01/2016,
02101900,01/01/2016,
02102000,01/01/2016,
02109100,01/01/2016,
02109200,01/01/2016,
02109300,01/01/2016,
02109900,01/01/2016,
03011110,01/01/2016,
03011190,01/01/2016,
03011900,01/01/2016,
03019110,01/01/2016,
03019190,01/01/2016,
03019210,01/01/2016,
03019290,01/01/2016,
03019310,01/01/2016,
03019390,01/01/2016,
03019410,01/01/2016,
03019490,01/01/2016,
03019510,01/01/2016,
03019590,01/01/2016,
03019911,01/01/2016,
03019912,01/01/2016,
03019919,01/01/2016,
03019991,01/01/2016,
03019992,01/01/2016,
03019999,01/01/2016,
03021100,01/01/2016,
03021300,01/01/2016,
03021400,01/01/2016,
03021900,01/01/2016,
03022100,01/01/2016,
03022200,01/01/2016,
03022300,01/01/2016,
03022400,01/01/2016,
03022900,01/01/2016,
03023100,01/01/2016,
03023200,01/01/2016,
03023300,01/01/2016,
03023400,01/01/2016,
03023500,01/01/2016,
03023600,01/01/2016,
03023900,01/01/2016,
03024100,01/01/2016,
03024210,01/01/2016,
03024290,01/01/2016,
03024300,01/01/2016,
03024400,01/01/2016,
03024500,01/01/2016,
03024600,01/01/2016,
03024700,01/01/2016,
03024910,01/01/2017,
03024990,01/01/2017,
03025100,01/01/2016,
03025200,01/01/2016,
03025300,01/01/2016,
03025400,01/01/2016,
03025500,01/01/2016,
03025600,01/01/2016,
03025900,01/01/2016,
03027100,01/01/2016,
03027210,01/01/2016,
03027290,01/01/2016,
03027300,01/01/2016,
03027400,01/01/2016,
